13th Floor BBS                           13th.hoyvision.com:6400
13th Leader BBS                          13leader.net:8023
1992 BBS                                 98.113.13.134:2323
20 For Beers BBS                         20forbeers.com:1337
300 F-ing Baud BBS                       300baud.dynu.net:2525
32-Bit BBS                               x-bit.org:23230
3D Realms                                172.0.79.226
4 Wheel Ham BBS                          bbs.4wheelham.com
4D2 Dot Org                              bbs.4d2.org
64 Vintage BBS                           64vintageremixbbs.dyndns.org:6400
68k Mac Club                             bbs.m68k.club
8-Bit Archive                            bbs.8-bitarchive.com:2223
8-Bit Boyz BBS                           bbs.8bitboyz.com:6502
8-bit Misfits                            www.brokenbit.us:8888
8-Bit Playground                         8bit.hoyvision.com:6400
8Bit Club BBS                            bbs.8bitclub.com:6502
A-Net Online (Game Server)               game.a-net-online.lol:513
A-Net Online (Linux Synchronet)          x.a-net.online:2323
A-Net Online (Mystic)                    mystic-anet.online
A-Net Online (Spitfire)                  sf.a-net.online:2323
A-Net Online (Synchronet)                a-net.online
A-Net Online (TWGS)                      game.a-net-online.lol:2002
A1 BBS                                   a1bbs.ddns.net
Absinthe BBS                             absinthebbs.net:1940
Abyss BBS                                bbs.abyssnode.net
Ace of Spades BBS                        chaotix.ddns.net:2323
Acid Underworld                          blackflag.acid.org:31337
ACS BBS                                  18.205.154.92
Adept BBS TWGS                           adeptbbs.com:2002
Adept Online Entertainment               adeptbbs.com
Aerodrome                                theaerodromebbs.com:6502
Agency BBS                               agency.bbs.nz
Agon BBS                                 krion.io:1337
Agster                                   bbs.aghy.net
Aincrad BBS                              67.205.168.255:2323
Air & Wave BBS                           bbs.airandwave.net:2323
Al's Geek Lab BBS                        bbs.alsgeeklab.com:2323
Alcatraz Prison BBS                      alcatrazbbs.ddns.net:9000
Alcoholiday BBS (Mystic)                 alcoholidaybbs.com
Alcoholiday BBS (Renegade)               alcoholidaybbs.com:95
Ale's BBS                                manalejandro.com
Aleco Experience BBS                     bbs.alecoexp.cz
Alien Mindbenders BBS                    195.43.155.90
Aliens' Alcove!                          aliens.ph:2323
Alltsk                                   fido.alltsk.ru
Alpha Centauri BBS                       acentauribbs.no-ip.org:2002
Alpha Complex                            www.alphacomplex.us:2523
Alphachron BBS                           193.22.2.193
AlphaNet                                 2.236.17.38:2888
ALT119                                   bbs.alt119.net
Altair IV BBS                            altairiv.ddns.net:2323
Altair Mini BBS                          altairminibbs.net
Altar of Wares                           altarofwaresbbs.hopto.org:6464
Alterant BBS                             115.70.188.112:123
American Connection BBS                  tacbbs.synchro.net
Amiga CBM BBS                            amiganer.amms-bbs.de
Amiga City                               amigacity.xyz
Amiga Retro Brisbane BBS                 www.amigaretro.com
Amiga Retro V4SA BBS                     amibbs.amigaretro.com:6880
Amiga Underground (AmiExpress)           amigaunderground.com:2300
Amis XE                                  amis86.ddns.net:9000
AMSTRAD BBS                              amstrad.simulant.uk:464
Analog Waffle                            waffle.c4bmore.com:2001
Anduin BBS                               bbs.anduin.net
Animation Game Station (Animeyo)         54.238.90.108
Another Droid BBS                        andr01d.zapto.org:9999
Another F-ing BBS                        anotherbbs.dynu.net:1337
ANSITex                                  115.70.188.112
Antelope Love BBS                        bbs.antelopelovefan.com
Anti Earth Union Government (Chinese)    125.229.104.182
Antidote                                 antidote.triad.se:64128
Antikitera                               technotron.asuscomm.com
Anybox BBS                               anybox.freedyndns.de
Arcadia BBS (1)                          bbs.arcadiabbs.com
Arcadia BBS (2)                          www.mythicalhosting.com
Archaic Binary                           bbs.archaicbinary.net
ArcticZone Online Entertainment (1)      bbs.arcticzonebbs.net
ArcticZone Online Entertainment (2)      bbs2.arcticzonebbs.net
ARDA-BBS.com                             arda-bbs.com
Area 52                                  area52.tk:5200
Arena BBS                                netasylum.com:2323
Ariana Interface                         ariana.synchro.net
ARTNET                                   50.116.51.149
AT2K Design BBS                          bbs.at2k.org
Atari Portfolio BBS (POFOBBS)            pofobbs.ddns.net:992
Atavachron BBS                           bbs.atavachronbbs.net:22
Athelstan BBS                            athelstan.org
Atlantis BBS                             75.8.224.32:6401
Atmosphere BBS (NTU)                     bbs.as.ntu.edu.tw
Attic BBS                                theattic.v1cd3m1z3r.net
Avalon Isle BBS                          atl.ddns.net:6400
Avast! BBS                               avastbbs.servegame.com
Avogodro BBS                             137.184.181.34:8888
Baba Yaga's BBS                          68.98.101.79
Back In Time                             backintime.ddns.net:6510
